make_model_ordinal,price,type_ordinal,warranty_ordinal,mileage,gearbox_ordinal,fuel_type,seller,engine_size,gears,co_emissions,drivetrain,empty_weight,full_service_history,upholstery,previous_owner,energy_efficiency_class,age,power_kW,cons_avg,comfort_&_convenience_Package,num_of_extras,safety_security_package_labeled,entertainment_media_package_labeled,Compact,Convertible,Coupe,Off-Road/Pick-up,Sedan,Station wagon
0.0,16950.0,0.0,0.0,120200.0,0.0,1.0,1.0,1595.0,5.0,98.0,1.0,1270.0,0.0,0.0,2.0,1.0,6.0,75.0,3.8,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,80900.0,1.0,0.0,5000.0,1.0,3.0,1.0,1.0,1.0,0.0,2.0,2355.0,0.0,1.0,1.0,1.0,0.0,215.0,2.359,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,69900.0,0.0,0.0,18900.0,1.0,0.0,1.0,1991.0,8.0,162.0,2.0,1555.0,0.0,1.0,2.0,0.0,2.0,310.0,8.4,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,46990.0,0.0,0.0,18995.0,1.0,0.0,1.0,1991.0,7.0,169.0,2.0,1455.0,0.0,1.0,2.0,0.0,2.0,225.0,7.3,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
2.0,16800.0,0.0,0.0,197000.0,1.0,1.0,1.0,2143.0,7.0,162.0,2.0,1545.0,0.0,1.0,2.0,0.0,7.0,100.0,4.9,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
4.0,4690.0,0.0,1.0,165000.0,0.0,0.0,1.0,1799.0,6.0,196.0,0.0,1465.0,1.0,0.0,2.0,1.0,17.0,90.0,8.2,2.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
5.0,22550.0,0.0,0.0,83339.0,0.0,1.0,1.0,1595.0,7.0,134.0,1.0,1410.0,0.0,1.0,3.0,0.0,4.0,90.0,6.1,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
6.0,26900.0,0.0,0.0,48900.0,1.0,0.0,1.0,1991.0,7.0,141.0,1.0,1450.0,0.0,1.0,2.0,1.0,3.0,140.0,6.1,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
3.0,44999.0,0.0,1.0,56876.0,1.0,0.0,1.0,1991.0,7.0,168.0,2.0,1455.0,0.0,1.0,2.0,0.0,3.0,225.0,0.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,23900.0,0.0,0.0,21854.0,1.0,1.0,1.0,1991.0,1.0,101.5,1.0,1365.0,0.0,1.0,3.0,1.0,4.0,102.0,5.4,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,14200.0,0.0,0.0,99016.0,0.0,1.0,1.0,1461.0,5.0,98.0,1.0,1295.0,0.0,0.0,2.0,1.0,7.0,66.0,3.8,2.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
